Name/ID,Vertical,Industry,EmployeeQuantityGrowthRate,SalesTurnoverGrowthRate,PriorYearEmployees,PriorYearRevenue,SalesVolume,SmallBusiness,Delinquency  Rate
18834,Consulting / Other Professional Services,Professional Services,1.5,3.781561,40,2234070.742,10682345.93,Y,Low Risk
18844,Healthcare,Healthcare,0,0,13,1169601.741,1169601.741,Y,Low Risk
19712,Engineering,Professional Services,0,16.29826,300,30094247.05,520578106.1,N,Low Risk
19747,Finance,Finance,0,0,0,0,0,0,Low Risk
19886,State/Local Government,Government,0,0,85,0,0,N,Low Risk
20216,State/Local Government,Government,0,0.104167,7,630796.4448,696504.4078,N,Low Risk
20331,Reseller,Telecommunications,0,0.015152,1,86734.51116,88048.67042,Y,0
20337,Reseller,Telecommunications,0,2.048272,25,1077610.593,3284850.146,Y,Low Risk
20827,Retail,Other Enterprise,-0.5,-0.627451,6,670221.2226,262831.852,Y,Low Risk
20923,Consulting / Other Professional Services,Professional Services,0,0.286091,8,919911.482,1183090.272,Y,Low Risk
20963,Consulting / Other Professional Services,Professional Services,0,0,13,1314159.26,1314159.26,Y,Low Risk
21104,Manufacturing,Energy & Manufacturing,-0.058824,-0.098564,22100,14175704522,12778490396,N,Low Risk
21244,RLEC,Telecommunications,0,0.838916,25,3416814.076,6283234.599,N,Low Risk
21428,State/Local Government,Government,0,0,100,23539433.56,23539433.56,N,Low Risk
21474,Internet Content & Software,Media & Content,0,0.678496,87,14192920.01,23822754.47,Y,#N/A
21481,Consulting / Other Professional Services,Professional Services,2.833333,0,6,2102654.816,2102654.816,Y,Low Risk
21486,Regional Carrier/ISP,Telecommunications,0,0,3,328539.815,328539.815,Y,Low Risk
21576,Colo/Hosting,Data Center & Cloud Services,0,0,2,197123.889,197123.889,Y,0
21612,Higher Education,Research & Education,0,0,1100,0,195857059.2,N,Low Risk
21613,Regional Carrier/ISP,Telecommunications,0,0,25,3679645.928,3679645.928,Y,Low Risk
21634,State/Local Government,Government,0,0,0,0,8194487.375,Y,Low Risk
21647,Internet Content & Software,Media & Content,0,-0.032258,1,122216.8112,118274.3334,Y,Low Risk
21857,Wireless,Telecommunications,0,2.182119,14,1839822.964,5854536.136,Y,M
21930,Finance,Finance,0,4.081976,5,775353.9634,3940330.444,Y,Low Risk
22164,Consulting / Other Professional Services,Professional Services,0,0,2,262831.852,262831.852,Y,0
22278,Retail,Other Enterprise,0,0,5,3416814.076,3416814.076,Y,High Risk
22309,Commercial Systems Integrator,Professional Services,0,0,35,19821217.06,19821217.06,Y,High Risk
22390,Colo/Hosting,Data Center & Cloud Services,0,0,0,0,67022.12226,Y,M
22430,,,0,0,2,289115.0372,289115.0372,N,High Risk
22508,Internet Content & Software,Media & Content,0,0,0,0,0,0,0
22520,Consulting / Other Professional Services,Professional Services,0,0.208648,25,3679645.928,4447394.852,Y,High Risk
22644,Finance,Finance,0,-0.116857,24,3153982.224,2785417.06,N,Low Risk
22645,Finance,Finance,0,0,2,197123.889,197123.889,Y,High Risk
22747,Internet Content & Software,Media & Content,0,0,150,21026548.16,21026548.16,Y,Low Risk
22876,Finance,Finance,0,5.415062,1100,27728760.39,177881705,Y,M
22967,Finance,Finance,0,0.1605,350,27597344.46,32026716.93,N,Low Risk
22973,Retail,Other Enterprise,0,0.018868,1,69650.44078,70964.60004,Y,0
23000,,,0,0.527164,100,22340707.42,34117929.36,N,High Risk
23138,Finance,Finance,0,-0.066667,2,197123.889,183982.2964,Y,Low Risk
23197,Regional Carrier/ISP,Telecommunications,0,0.027027,4,486238.9262,499380.5188,Y,High Risk
23312,Finance,Finance,0.22807,1.790293,285,42973007.8,119907273.5,N,Low Risk
23313,Regional Carrier/ISP,Telecommunications,0,0,0,0,0,N,0
23405,State/Local Government,Government,0,0,2,183982.2964,183982.2964,Y,0
23539,Colo/Hosting,Data Center & Cloud Services,0,0.767934,20,3153982.224,5576032.935,Y,Low Risk
23588,Internet Content & Software,Media & Content,0,0.148582,35,4730973.336,5433910.553,Y,Low Risk
23614,Research,Research & Education,0,0,2,131415.926,131415.926,Y,0
23885,Wireless,Telecommunications,0,-0.441773,10,1169601.741,652903.2319,Y,Low Risk
23999,Engineering,Professional Services,0,2.67113,100,20632300.38,75743863.47,N,Low Risk
24048,Retail,Other Enterprise,0,0,12,1708407.038,1708407.038,Y,0
24139,Reseller,Telecommunications,0,0.058824,3,223407.0742,236548.6668,Y,High Risk
24150,National Carrier/ISP,Telecommunications,0,0,2,113017.6964,113017.6964,Y,0
24284,Commercial Systems Integrator,Professional Services,0,0,0,0,0,N,0
24370,Retail,Other Enterprise,0,2.259967,42,1971238.89,6426173.073,Y,Low Risk
24593,Retail,Other Enterprise,0,0.708249,250,36796459.28,62857517.4,N,High Risk
24783,Reseller,Telecommunications,3.473684,5.688192,19,2365486.668,15820829.53,Y,High Risk
24863,Retail,Other Enterprise,0,1.351296,1819,134701324.2,316722643.9,N,Low Risk
25178,Healthcare,Healthcare,0,0,2,111703.5371,111703.5371,Y,0
25231,Internet Content & Software,Media & Content,0,0,2,114331.8556,114331.8556,Y,0
25356,Consulting / Other Professional Services,Professional Services,0.046875,0.058513,3200,894174987.1,946495609.7,N,Low Risk
25464,Media,Media & Content,0,0.010526,10,1248451.297,1261592.89,Y,Low Risk
25662,Internet Content & Software,Media & Content,0,0.147541,11,801637.1486,919911.482,Y,Low Risk
25744,Real Estate / Construction,Other Enterprise,0,0,0,0,0,N,Low Risk
25761,Internet Content & Software,Media & Content,0,0.022222,6,591371.667,604513.2596,Y,High Risk
25763,Finance,Finance,0,0.212121,2,130101.7667,157699.1112,Y,High Risk
25830,Internet Content & Software,Media & Content,0,0.025316,1,103818.5815,106446.9001,Y,Low Risk
25872,Finance,Finance,0,0,0,0,0,N,Low Risk
25885,Transportation,Other Enterprise,0,0.226717,60,3679645.928,4513886.054,Y,Low Risk
26267,Consulting / Other Professional Services,Professional Services,11.5,23.656875,4,670221.2226,16525560.58,Y,Low Risk
26325,Manufacturing,Energy & Manufacturing,0,-0.999907,260,243119463.1,22723.12776,N,Low Risk
26351,State/Local Government,Government,0,0,1200,0,0,N,Low Risk
26371,Colo/Hosting,Data Center & Cloud Services,0,0.026996,5300,4405456087,4524387500,N,High Risk
26488,Consulting / Other Professional Services,Professional Services,0,0.011993,68,9593362.598,9708415.927,Y,M
26669,Internet Content & Software,Media & Content,0,0.573161,300,43104423.73,67810188.09,Y,Low Risk
26670,Healthcare,Healthcare,0,0,35000,1612356452,1612356452,N,Low Risk
26867,Legal,Professional Services,0,0,6,578230.0744,578230.0744,Y,0
27411,Healthcare,Healthcare,0,13.156501,14400,1176172538,16650487138,N,High Risk
27533,Internet Content & Software,Media & Content,1.266667,4.587922,75,11696017.41,65356437.23,N,Low Risk
27779,Retail,Other Enterprise,0,0,1,65707.963,65707.963,Y,0
28013,Real Estate / Construction,Other Enterprise,0,6.436675,550,18398229.64,136821661,N,M
28078,Regional Carrier/ISP,Telecommunications,0,0,1,73592.91856,73592.91856,Y,Low Risk
28244,Internet Content & Software,Media & Content,0,0,25,2496902.594,2496902.594,Y,0
28510,National Carrier/ISP,Telecommunications,0,0,1,0,0,0,M
28634,Media,Media & Content,0,0.036097,30,413300352.5,428219194.4,N,Low Risk
28664,K-12 Education,Research & Education,0,0,0,0,0,N,Low Risk
28945,Finance,Finance,0,0,2,170840.7038,170840.7038,Y,0
29229,Cloud Service Provider,Data Center & Cloud Services,0.8,1.247377,10,1445575.186,3248752.819,Y,High Risk
29279,Finance,Finance,0,0,50,4599557.41,4599557.41,Y,High Risk
29296,Wireless,Telecommunications,0,-0.081016,65,8410619.264,7729223.745,Y,Low Risk
29382,Federal Government,Government,0,0,0,0,0,N,High Risk
29450,Retail,Other Enterprise,0,2.219679,20,2234070.742,7192990.258,Y,Low Risk
29479,Internet Content & Software,Media & Content,0,0.026316,1,99876.10376,102504.4223,Y,Low Risk
29582,Consulting / Other Professional Services,Professional Services,0,1.725974,195,7753539.634,21135946.66,Y,Low Risk
29832,Systems Integrators,Government,0,0,14,1839822.964,1839822.964,Y,Low Risk
29842,Cloud Service Provider,Data Center & Cloud Services,0,0,2,197123.889,197123.889,Y,0
29857,VOIP/VSP,Telecommunications,0,-0.236658,150,31276990.39,23875031.72,Y,Low Risk
30010,Finance,Finance,0,0,0,0,5974595.098,N,Low Risk
30081,Cable & Satellite,CATV/Satellite,0,0,15,0,1235859.023,Y,Low Risk
30422,,,0,1.949996,375,32722565.57,96531448.85,N,Low Risk
30496,Internet Content & Software,Media & Content,0,0,2,183982.2964,183982.2964,Y,Low Risk
30567,Legal,Professional Services,0,1.345058,3662,450099546.6,1055509542,N,Low Risk
30592,Real Estate / Construction,Other Enterprise,0,0,0,0,0,N,Low Risk
30679,Internet Content & Software,Media & Content,0,0,0,0,131415.926,Y,Low Risk
30692,Internet Content & Software,Media & Content,0,0,0,0,0,N,0
30717,Cable & Satellite,CATV/Satellite,0,0,7,328539.815,328539.815,Y,Low Risk
30746,Consulting / Other Professional Services,Professional Services,0.003176,0,17000,0,4294340070,N,Low Risk
30786,National Carrier/ISP,Telecommunications,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
30842,Media,Media & Content,0,0,2,123530.9704,123530.9704,Y,0
30934,Media,Media & Content,0.166667,0.488619,12,1130176.964,1682402.455,Y,Low Risk
31243,RLEC,Telecommunications,0,0,12,2978218.68,2978218.68,Y,Low Risk
31431,Internet Content & Software,Media & Content,0,0,22,16426990.75,16426990.75,Y,High Risk
31463,Federal Government,Government,0,0,9500,0,0,N,Low Risk
31487,Consulting / Other Professional Services,Professional Services,0,0,40,15769911.12,15769911.12,Y,High Risk
31770,K-12 Education,Research & Education,0,0,0,0,599607.5031,N,Low Risk
31916,Regional Carrier/ISP,Telecommunications,0,0.017857,1,73592.91856,74907.07782,Y,Low Risk
31995,Telecommunications Equipment Provider,Other Enterprise,0,0.422066,10,1287876.075,1831445.199,Y,Low Risk
32223,Finance,Finance,0,0.387768,70,10644690.01,14772363.05,Y,Low Risk
32434,Finance,Finance,0,0,25,591371.667,591371.667,Y,High Risk
32471,Retail,Other Enterprise,0,-0.594933,2500,177017252.3,71703922.38,N,Low Risk
32627,Colo/Hosting,Data Center & Cloud Services,23,117.499977,1,170840.7038,20244619.46,Y,Low Risk
32729,Finance,Finance,0,0,30,1839822.964,1839822.964,Y,Low Risk
32924,Federal Government,Government,0,0,0,0,0,N,Low Risk
33180,Manufacturing,Energy & Manufacturing,0,1.710904,2700,428284502.8,1161038343,N,Low Risk
33198,Cloud Service Provider,Data Center & Cloud Services,0,0.011236,1,116960.1741,118274.3334,Y,Low Risk
33226,Engineering,Professional Services,0,0,13,1708407.038,1708407.038,Y,Low Risk
33432,RLEC,Telecommunications,0,-0.047619,3,275973.4446,275973.4446,Y,M
33728,Internet Content & Software,Media & Content,0,1.887689,100,18135397.79,52369383.18,N,Low Risk
34173,Consulting / Other Professional Services,Professional Services,0.333333,4,30,2891150.372,14455751.86,Y,Low Risk
34269,Internet Content & Software,Media & Content,0,0.546378,47,6439380.374,9957713.253,N,0
34427,Consulting / Other Professional Services,Professional Services,0,0,0,0,0,N,0
34444,Consulting / Other Professional Services,Professional Services,0,0,3,236548.6668,236548.6668,Y,0
34512,State/Local Government,Government,0,0,2500,0,0,N,Low Risk
34574,PTT,Telecommunications,1.1,4.691529,10,985619.445,5609681.983,N,Low Risk
35258,Regional Carrier/ISP,Telecommunications,0,10.125187,350,23260618.9,258778741.7,Y,Low Risk
35355,,,0,1.193305,30,4336725.558,9511759.879,Y,Low Risk
35412,Federal Government,Government,0,1.575201,40,2365486.668,6091603.896,N,Low Risk
35577,Colo/Hosting,Data Center & Cloud Services,0,0,0,0,131415.926,Y,Low Risk
35583,Internet Content & Software,Media & Content,0,0.594764,56,5782300.744,9221404.275,Y,Low Risk
35616,Colo/Hosting,Data Center & Cloud Services,0,0.088235,1,44681.41484,48623.89262,Y,High Risk
35831,Consulting / Other Professional Services,Professional Services,0,0,3,394247.778,394247.778,Y,Low Risk
35957,Transportation,Other Enterprise,0,0.035088,20,749070.7782,775353.9634,Y,Low Risk
35972,Finance,Finance,0,2.007164,9,1445575.186,4347081.133,Y,High Risk
35982,Manufacturing,Energy & Manufacturing,0,0.0125,14,1051327.408,1064469.001,Y,Low Risk
35991,Regional Carrier/ISP,Telecommunications,0,0,0,0,149718.222,N,High Risk
36038,Consulting / Other Professional Services,Professional Services,0,2.228728,524,42841591.88,138323850.1,N,Low Risk
36274,Regional Carrier/ISP,Telecommunications,0,0,15,3219690.187,3219690.187,Y,Low Risk
36712,Colo/Hosting,Data Center & Cloud Services,0,0.394448,23,3942477.78,5497580.255,Y,High Risk
36850,Cloud Service Provider,Data Center & Cloud Services,0,1.313566,86,15112831.49,34964535.73,Y,Low Risk
36978,Retail,Other Enterprise,0,-0.288528,140,38279389.44,27234723.24,N,Low Risk
